País,2018,2017,2016,2015,2014,2013,2012,2011,2010
Afeganistão,"15,16","16,09","17,10","18,25","19,50","20,81","22,21","23,67","25,19"
África do Sul,"7,15","7,21","7,46","7,97","8,46","9,42","10,77","13,93","18,24"
Albânia,"1,06","1,05","1,05","1,06","1,10","1,16","1,23","1,33","1,44"
Alemanha,"0,59","0,60","0,62","0,63","0,64","0,65","0,67","0,68","0,70"
Andorra,"0,18","0,19","0,21","0,23","0,25","0,28","0,30","0,33","0,36"
Angola,"27,04","28,62","30,27","32,18","34,49","37,24","40,45","44,13","48,09"
Antígua e Barbuda,"1,10","1,16","1,21","1,28","1,34","1,43","1,52","1,62","1,73"
Arábia Saudita,"1,12","1,18","1,24","1,31","1,39","1,47","1,55","1,63","1,73"
Argélia,"3,45","3,52","3,59","3,64","3,69","3,73","3,78","3,86","3,96"
Argentina,"1,08","1,14","1,21","1,26","1,32","1,38","1,44","1,50","1,56"
Armênia,"1,32","1,38","1,45","1,52","1,60","1,68","1,77","1,87","1,98"
Austrália,"0,57","0,58","0,59","0,61","0,63","0,66","0,69","0,73","0,77"
Áustria,"0,64","0,64","0,64","0,65","0,67","0,69","0,71","0,73","0,75"
Azerbaijão,"2,38","2,56","2,78","3,03","3,34","3,68","4,08","4,51","4,98"
Bahamas,"1,86","1,92","1,97","2,02","2,07","2,11","2,16","2,21","2,27"
Bahrein,"1,04","1,07","1,09","1,10","1,12","1,14","1,16","1,19","1,23"
Bangladesh,"5,72","6,18","6,71","7,27","7,85","8,48","9,15","9,87","10,66"
Barbados,"0,94","0,97","1,00","1,03","1,06","1,10","1,12","1,15","1,18"
Bélgica,"0,78","0,77","0,76","0,76","0,76","0,77","0,79","0,80","0,82"
Belize,"1,82","1,93","2,05","2,17","2,29","2,41","2,54","2,66","2,77"
Benim,"33,53","34,63","35,70","36,79","37,87","38,98","40,10","41,23","42,38"
Bielorrússia,"0,83","0,88","0,94","0,99","1,04","1,10","1,17","1,25","1,34"
Bolívia,"5,20","5,47","5,77","6,13","6,55","7,04","7,59","8,23","8,93"
Bósnia e Herzegovina,"0,81","0,83","0,84","0,84","0,85","0,86","0,88","0,91","0,94"
Botsuana,"9,75","10,00","10,22","10,49","10,48","10,60","11,10","11,24","12,36"
Brasil,"1,64","1,66","1,81","1,72","1,76","1,80","1,86","1,93","2,02"
Brunei Darussalam,"1,88","1,87","1,85","1,84","1,82","1,80","1,79","1,79","1,78"
Bulgária,"1,14","1,20","1,26","1,33","1,42","1,51","1,60","1,70","1,77"
Burkina Faso,"37,55","39,56","41,69","43,87","46,19","48,65","51,33","54,21","57,28"
Burundi,"18,46","19,61","20,96","22,50","24,21","26,20","28,47","30,96","33,61"
Butão,"5,02","5,30","5,59","5,90","6,27","6,72","7,24","7,83","8,54"
Cabo Verde,"2,24","2,40","2,62","2,87","3,14","3,42","3,73","4,01","4,24"
Camarões,"27,40","29,00","30,67","32,84","34,95","37,44","39,68","42,01","44,50"
Camboja,"4,00","4,19","4,37","4,60","4,86","5,18","5,59","6,11","6,78"
Canadá,"0,65","0,66","0,67","0,69","0,70","0,72","0,73","0,75","0,77"
Catar,"0,96","1,02","1,08","1,13","1,18","1,22","1,26","1,29","1,32"
Cazaquistão,"1,14","1,17","1,22","1,30","1,42","1,57","1,76","1,98","2,23"
Chade,"50,18","52,52","54,92","57,28","59,56","61,90","64,36","66,89","69,48"
Chile,"1,05","1,08","1,12","1,15","1,19","1,22","1,24","1,26","1,29"
China,"2,10","2,21","2,33","2,46","2,59","2,74","2,90","3,07","3,26"
Chipre,"0,52","0,51","0,51","0,50","0,50","0,51","0,51","0,53","0,54"
Cingapura,"0,46","0,48","0,50","0,52","0,53","0,54","0,55","0,56","0,58"
Colômbia,"1,99","2,05","2,12","2,20","2,28","2,36","2,45","2,55","2,66"
Comores,"16,41","17,26","18,13","18,99","19,93","20,81","21,84","22,86","23,92"
Congo,"13,34","14,00","14,75","15,55","16,37","17,18","17,97","18,79","19,86"
Coreia do Norte,"4,52","4,74","4,97","5,21","5,47","5,76","6,07","6,38","6,64"
Coreia do Sul,"0,47","0,49","0,50","0,51","0,53","0,54","0,56","0,58","0,60"
Costa do Marfim,"23,39","24,69","25,64","26,83","28,25","29,90","31,33","32,51","34,13"
Costa Rica,"1,03","1,13","1,27","1,39","1,44","1,41","1,34","1,32","1,37"
Croácia,"0,70","0,71","0,71","0,72","0,73","0,74","0,75","0,77","0,79"
Cuba,"1,07","1,10","1,12","1,14","1,17","1,20","1,23","1,26","1,29"
Dinamarca,"0,54","0,56","0,58","0,59","0,60","0,60","0,61","0,62","0,63"
Djibuti,"10,14","10,71","11,28","11,85","12,48","13,11","13,70","14,35","15,02"
Dominica,"5,18","4,69","4,31","4,01","3,78","3,62","3,49","3,40","3,31"
Egito,"3,12","3,26","3,41","3,59","3,80","4,01","4,25","4,52","4,80"
El Salvador,"1,95","2,02","2,10","2,19","2,28","2,39","2,52","2,68","2,84"
Emirados Árabes Unidos,"1,02","1,05","1,08","1,11","1,13","1,16","1,19","1,22","1,25"
Equador,"1,96","2,03","2,10","2,17","2,26","2,36","2,48","2,62","2,77"
Eritreia,"10,91","11,50","12,12","12,77","13,46","14,18","14,95","15,79","16,66"
Eslováquia,"1,09","1,10","1,11","1,12","1,14","1,16","1,18","1,20","1,23"
Eslovênia,"0,44","0,46","0,47","0,49","0,50","0,52","0,54","0,56","0,59"
Espanha,"0,55","0,55","0,56","0,57","0,59","0,61","0,64","0,67","0,70"
Estados Unidos da América,"0,94","0,96","0,98","0,99","1,01","1,03","1,05","1,07","1,10"
Estônia,"0,53","0,57","0,62","0,66","0,71","0,77","0,83","0,90","0,98"
Eswatini,"13,32","15,06","13,52","12,58","12,93","13,76","16,22","23,13","32,50"
Etiópia,"15,81","17,06","18,47","20,01","21,66","23,43","25,25","27,20","29,29"
Fiji,"4,22","4,07","3,94","3,82","3,73","3,67","3,64","3,64","3,66"
Filipinas,"5,92","6,09","6,27","6,44","6,58","6,71","6,83","6,97","7,10"
Finlândia,"0,44","0,44","0,45","0,46","0,47","0,49","0,51","0,53","0,55"
França,"0,95","0,96","0,97","0,98","1,00","1,02","1,04","1,07","1,10"
Gabão,"11,93","12,30","13,31","14,77","16,20","17,68","18,75","19,75","20,91"
Gâmbia,"17,15","18,30","19,58","20,94","22,43","23,97","25,59","27,32","29,18"
Gana,"13,57","14,42","15,38","16,44","17,58","18,82","20,17","21,66","23,21"
Geórgia,"1,08","1,10","1,13","1,16","1,21","1,26","1,33","1,42","1,53"
Granada,"1,93","1,96","1,97","1,99","2,01","2,02","2,03","2,04","2,05"
Grécia,"0,51","0,52","0,53","0,53","0,52","0,50","0,49","0,48","0,48"
Guatemala,"4,04","4,25","4,48","4,72","4,98","5,29","5,62","5,97","6,33"
Guiana,"5,17","5,40","5,64","5,89","6,14","6,39","6,63","6,86","7,08"
Guiné,"38,17","39,23","40,21","41,74","42,72","43,24","44,36","45,53","46,74"
Guiné Equatorial,"23,65","24,83","26,10","27,40","28,92","30,30","31,69","33,27","34,86"
Guiné-Bissau,"29,54","30,96","32,48","34,11","35,85","37,79","39,99","42,43","45,13"
Haiti,"15,80","16,52","17,26","18,03","18,82","19,56","20,30","21,04","112,51"
Holanda,"0,58","0,59","0,59","0,60","0,61","0,63","0,64","0,66","0,69"
Honduras,"2,49","2,60","2,71","2,82","2,95","3,09","3,24","3,39","3,59"
Hungria,"0,71","0,74","0,78","0,83","0,87","0,90","0,92","0,93","0,95"
Iémen,"15,87","14,95","15,09","15,26","13,98","13,77","14,03","13,87","13,91"
Ilhas Cook,"1,15","1,19","1,23","1,27","1,32","1,37","1,42","1,48","1,54"
Ilhas Marshall,"5,74","6,01","6,23","6,50","6,75","7,01","7,23","7,41","7,53"
Ilhas Salomão,"3,09","3,21","3,33","3,47","3,62","3,78","3,93","4,09","4,26"
Índia,"6,77","7,41","8,12","8,89","9,73","10,63","11,58","12,61","13,68"
Indonésia,"3,88","4,09","4,31","4,56","4,83","5,11","5,42","5,74","6,08"
Irã,"1,95","2,03","2,10","2,19","2,28","2,39","2,51","2,66","2,83"
Iraque,"4,41","4,61","4,82","5,04","5,28","5,55","5,81","6,08","6,37"
Irlanda,"0,45","0,47","0,50","0,52","0,55","0,57","0,59","0,61","0,63"
Islândia,"0,42","0,44","0,45","0,47","0,48","0,50","0,51","0,53","0,55"
Israel,"0,71","0,72","0,74","0,75","0,78","0,80","0,83","0,86","0,89"
Itália,"0,48","0,50","0,51","0,52","0,54","0,55","0,57","0,59","0,60"
Jamaica,"2,00","2,06","2,13","2,20","2,27","2,35","2,43","2,51","2,60"
Japão,"0,70","0,71","0,72","0,74","0,76","0,78","0,80","0,91","0,85"
Jordânia,"2,27","2,34","2,42","2,50","2,59","2,68","2,77","2,87","2,97"
Kiribati,"11,86","12,42","12,93","13,50","14,04","14,60","15,08","15,52","15,93"
Kuwait,"1,26","1,25","1,26","1,27","1,29","1,33","1,38","1,43","1,48"
Lesoto,"19,94","19,24","20,03","23,74","24,07","23,24","24,22","26,69","27,47"
Letônia,"0,61","0,65","0,70","0,76","0,85","0,94","1,05","1,17","1,28"
Líbano,"1,08","1,12","1,16","1,20","1,25","1,30","1,34","1,40","1,46"
Libéria,"23,06","23,81","24,53","25,50","27,95","26,90","27,83","28,88","30,14"
Líbia,"1,73","1,79","1,85","1,92","2,00","2,09","2,18","4,56","2,41"
Lituânia,"0,74","0,82","0,89","0,93","0,94","0,95","0,99","1,07","1,17"
Luxemburgo,"0,52","0,51","0,51","0,50","0,50","0,50","0,50","0,50","0,50"
Macedônia do Norte,"0,99","1,17","1,32","1,37","1,33","1,26","1,19","1,16","1,19"
Madagáscar,"16,04","16,85","17,65","18,46","19,30","20,17","21,14","22,18","23,31"
Malásia,"1,22","1,20","1,18","1,17","1,16","1,16","1,16","1,16","1,17"
Malawi,"12,07","13,76","15,43","17,20","19,18","22,16","26,23","30,36","33,50"
Maldivas,"1,11","1,21","1,31","1,41","1,51","1,61","1,71","1,82","1,95"
Mali,"37,98","40,02","42,15","44,46","46,93","49,51","52,22","55,07","58,03"
Malta,"0,84","0,84","0,83","0,83","0,83","0,83","0,83","0,83","0,83"
Marrocos,"2,95","3,08","3,23","3,40","3,60","3,80","4,02","4,25","4,50"
Maurício,"1,72","1,70","1,70","1,75","1,85","1,95","2,01","2,03","2,07"
Mauritânia,"25,36","26,54","27,86","29,28","30,61","32,12","33,69","35,14","36,62"
México,"2,07","2,14","2,22","2,30","2,39","2,48","2,59","2,70","2,81"
Mianmar,"9,90","10,46","11,04","11,66","12,29","13,01","13,83","14,70","15,64"
Micronésia,"4,22","4,41","4,63","4,85","5,08","5,29","5,52","5,70","5,90"
Moçambique,"20,83","21,70","22,30","24,16","27,11","29,50","31,99","34,00","34,93"
Mônaco,"0,59","0,62","0,63","0,65","0,68","0,70","0,71","0,73","0,75"
Mongólia,"2,39","2,53","2,69","2,85","3,03","3,22","3,48","3,82","4,24"
Montenegro,"0,51","0,56","0,61","0,67","0,72","0,79","0,85","0,92","1,00"
Namíbia,"12,64","13,11","13,95","14,85","14,42","13,76","13,03","12,41","12,76"
Nauru,"5,21","5,44","5,68","5,91","6,16","6,43","6,68","6,92","7,11"
Nepal,"5,27","5,64","6,05","6,54","7,08","7,64","8,26","8,92","9,62"
Nicarágua,"2,47","2,59","2,71","2,85","3,00","3,15","3,32","3,51","3,72"
Níger,"37,35","39,46","41,76","44,28","47,20","50,40","54,25","58,70","63,98"
Nigéria,"47,86","49,20","50,30","51,21","51,95","52,74","53,61","54,67","55,92"
Niue,"4,26","4,46","4,64","4,87","5,07","5,28","5,52","5,75","5,97"
Noruega,"0,45","0,47","0,49","0,51","0,53","0,55","0,57","0,59","0,61"
Nova Zelândia,"0,85","0,88","0,91","0,94","0,97","0,99","1,02","1,04","1,06"
Omã,"1,58","1,59","1,59","1,59","1,60","1,61","1,62","1,64","1,66"
Palau,"1,29","1,36","1,44","1,51","1,56","1,62","1,71","1,79","1,89"
Palestina,"2,51","2,62","2,71","2,81","2,90","3,00","3,11","3,22","3,33"
Panamá,"2,18","2,26","2,34","2,43","2,52","2,62","2,73","2,83","2,93"
Papua Nova Guiné,"9,91","10,36","10,83","11,26","11,74","12,20","12,65","13,10","13,61"
Paquistão,"12,91","13,54","14,18","14,84","15,53","16,23","16,93","17,61","18,27"
Paraguai,"2,99","3,12","3,25","3,38","3,53","3,69","3,86","4,03","4,21"
Peru,"1,53","1,62","1,71","1,82","1,95","2,08","2,24","2,41","2,62"
Polônia,"0,65","0,66","0,67","0,69","0,71","0,73","0,76","0,79","0,83"
Portugal,"0,63","0,65","0,66","0,67","0,68","0,69","0,71","0,73","0,76"
Quênia,"12,00","12,59","13,29","14,22","14,79","15,45","16,49","17,70","18,81"
Quirguistão,"2,08","2,20","2,34","2,49","2,64","2,81","3,01","3,26","3,56"
Reino Unido,"0,61","0,62","0,63","0,64","0,65","0,67","0,69","0,72","0,75"
República Centro-Africana,"32,02","33,45","35,56","38,80","41,49","43,52","45,99","48,51","51,07"
República da Moldávia,"2,12","2,16","2,19","2,23","2,27","2,31","2,35","2,40","2,45"
República Democrática do Congo,"20,77","21,99","23,37","24,71","26,18","27,68","29,36","31,11","33,08"
República Dominicana,"6,32","6,37","6,40","6,39","6,39","6,38","6,38","6,40","6,43"
Romênia,"1,30","1,36","1,43","1,51","1,59","1,67","1,73","1,79","1,86"
Ruanda,"11,73","12,16","12,71","13,61","14,55","15,51","16,78","18,70","20,80"
Rússia,"1,24","1,36","1,49","1,62","1,76","1,87","1,95","2,00","2,05"
Samoa,"2,57","2,62","2,66","2,70","2,73","2,76","2,80","2,82","2,84"
Santa Lúcia,"2,44","2,43","2,42","2,42","2,41","2,41","2,41","2,41","2,42"
São Cristóvão e Nevis,"2,59","2,66","2,74","2,81","2,85","2,88","2,89","2,91","2,93"
São Marinho,"0,21","0,22","0,23","0,24","0,26","0,27","0,29","0,30","0,32"
São Tomé e Príncipe,"3,79","4,04","4,35","4,74","5,27","5,88","6,61","7,55","8,65"
São Vicente e Granadinas,"1,32","1,39","1,47","1,56","1,66","1,76","1,87","1,99","2,11"
Seicheles,"2,05","2,08","2,09","2,09","2,07","2,05","2,03","2,01","1,99"
Senegal,"11,25","12,35","13,65","15,15","16,75","18,44","20,28","22,25","24,41"
Serra Leoa,"34,29","36,67","39,23","49,81","48,18","48,23","51,81","55,73","59,85"
Sérvia,"0,78","0,80","0,82","0,85","0,89","0,93","0,96","1,00","1,03"
Síria,"4,61","4,81","14,88","16,35","19,94","18,95","13,89","3,45","2,75"
Somália,"48,90","51,04","53,19","55,28","57,43","59,87","62,47","65,17","67,66"
Sri Lanka,"1,09","1,14","1,20","1,26","1,34","1,42","1,49","1,56","1,61"
Sudão,"18,99","19,83","20,73","21,68","22,62","23,53","24,41","25,33","26,26"
Sudão do Sul,"37,13","37,11","37,16","37,18","37,14","37,42","38,21","39,88","42,22"
Suécia,"0,50","0,51","0,52","0,52","0,53","0,54","0,54","0,55","0,55"
Suíça,"0,50","0,52","0,54","0,56","0,57","0,59","0,61","0,63","0,65"
Suriname,"2,02","2,09","2,15","2,23","2,30","2,37","2,44","2,52","2,59"
Tailândia,"1,36","1,42","1,48","1,54","1,60","1,67","1,74","1,83","1,91"
Tajiquistão,"4,41","4,59","4,82","5,01","5,19","5,37","5,56","5,79","6,07"
Tanzânia,"15,92","16,55","17,03","17,93","18,85","20,56","22,27","24,00","26,03"
Tchéquia,"0,63","0,64","0,64","0,63","0,62","0,62","0,62","0,64","0,66"
Timor-Leste,"6,58","6,95","7,33","7,73","8,18","8,70","9,25","9,90","10,63"
Togo,"23,06","24,13","25,21","26,35","27,53","28,76","30,01","31,31","32,61"
Tonga,"1,68","1,71","1,73","1,75","1,76","1,78","1,80","1,82","1,85"
Trindade e Tobago,"1,91","1,98","2,04","2,10","2,17","2,26","2,34","2,42","2,52"
Tunísia,"2,42","2,43","2,44","2,45","2,48","2,51","2,55","2,60","2,67"
Turcomenistão,"6,09","6,10","6,03","5,96","5,91","5,91","5,93","6,02","6,16"
Tuvalu,"3,64","3,81","3,98","4,17","4,39","4,61","4,87","5,13","5,44"
Ucrânia,"1,25","1,29","1,33","1,37","1,41","1,47","1,52","1,59","1,66"
Uganda,"13,75","14,72","15,76","17,43","18,95","20,75","23,47","25,83","28,23"
Uruguai,"1,02","1,09","1,16","1,23","1,28","1,33","1,36","1,40","1,45"
Uzbequistão,"1,70","1,81","1,95","2,10","2,29","2,51","2,76","3,06","3,43"
Vanuatu,"4,25","4,39","4,54","4,69","4,82","4,90","4,96","4,94","4,91"
Venezuela,"3,23","3,23","3,22","2,73","2,60","2,53","2,48","2,45","2,43"
Vietnã,"4,37","4,40","4,43","4,47","4,51","4,55","4,60","4,64","4,69"
Zâmbia,"22,43","21,29","20,68","21,83","23,34","25,61","26,93","28,14","29,32"
Zimbábue,"16,71","17,86","18,64","20,01","20,72","22,50","26,88","31,54","36,26"